"","P1","P2","P3","P4","P5","Team","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"481","JARED.WILSONFRAME","KENE.CHUKWUKA","MALIK.ELLISON","SIDY.NDIR","XAVIER.JOHNSON","Pittsburgh",3.017,1.617,1.4,4,4,50,175,-125,2,7,3,4,1,3,1,2,0,1,0,0,0,0,1,1,0,1,0,0,1,2,0,0,1,0,0,3,4,0.333,0.75,0,0.5,0,0,0.333,0.875,0.333,0.875,0,1,1,1,0.333,0.5,0.333,0.25,0.333,0.25,0,0,0,1,0.25,0,0,0,0,1,24.25,21
"482","JARED.WILSONFRAME","MALIK.ELLISON","SIDY.NDIR","TERRELL.BROWN","TREY.MCGOWENS","Pittsburgh",1.45,0.717,0.733,3,3,66.667,66.667,0,2,2,3,2,1,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,1,2,0,0,0,0,1,1,2.5,0.333,0.5,0,0,0,0,0.333,0.5,0.333,0.5,0.5,0.5,0,0,0.333,0,0.667,1,0,0,0,0,1,1,0,0,0,0,0,1,14.333,14.667
"483","JARED.WILSONFRAME","MALIK.ELLISON","TERRELL.BROWN","TREY.MCGOWENS","XAVIER.JOHNSON","Pittsburgh",1.267,0.517,0.75,2,3,0,133.333,-133.333,0,4,0,2,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2.5,0,0.5,0,0.5,0,0.5,0,0.75,0,0.678,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15.5,15
"484","JAY.HUFF","KIHEI.CLARK","KYLE.GUY","MAMADI.DIAKITE","TY.JEROME","Virginia",20.783,11.083,9.7,34,35,132.353,74.286,58.067,45,26,31,27,18,9,13,16,5,5,6,9,4,3,15,6,12,3,4,2,20,9,3,1,4,4,10,3,33.5,0.581,0.333,0.385,0.312,0.667,0.333,0.661,0.426,0.665,0.416,0.8,0.5,0.333,0.2,0.419,0.593,0.484,0.222,0.097,0.185,0.194,0.333,0.556,0.333,0.118,0.114,0.111,0.032,0.308,0.909,19.559,16.629
"485","JAY.HUFF","KIHEI.CLARK","KYLE.GUY","TEAM","TY.JEROME","Virginia",4.083,1.767,2.317,6,6,116.667,100,16.667,7,6,5,4,2,2,3,3,0,2,4,0,3,0,1,1,1,0,2,0,2,2,0,0,1,2,0,2,6,0.4,0.5,0,0.667,0.75,0,0.4,0.75,0.507,0.75,1,0,1,0,0.6,0.75,0.2,0.25,0.2,0,0.8,0,0,1,0.167,0.333,0,0,0.5,1,17.667,23.167
"486","JAY.HUFF","KODY.STATTMANN","MAMADI.DIAKITE","MARCO.ANTHONY","TY.JEROME","Virginia",1.283,1.017,0.267,4,4,0,150,-150,0,6,1,3,0,2,1,0,0,0,1,2,0,2,0,3,0,2,0,1,0,2,0,0,1,1,0,0,3,0,0.667,0,0,0,1,0,0.667,0,0.759,0,0.667,0,0,1,0,0,1,0,0,1,0.667,0,0,0.25,0.25,0,0,0,0,15.25,4
"487","JAYLEN.HOARD","MICHAEL.WYNN","OLIVIER.SARR","SHARONE.WRIGHT","TORRY.JOHNSON","Wake Forest",1.617,0.467,1.15,3,2,166.667,0,166.667,5,0,2,2,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2.5,0.5,0,0.5,0,1,0,0.75,0,0.847,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9.333,34.5
"488","JOHN.MOONEY","JUWAN.DURHAM","NIKOLA.DJOGO","PRENTISS.HUBB","TJ.GIBBS","Notre Dame",0.117,0,0.117,0,1,0,300,0,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,1,0,0,0,1.5,0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
"489","JOHN.MOONEY","NATE.LASZEWSKI","NIKOLA.DJOGO","PRENTISS.HUBB","TJ.GIBBS","Notre Dame",2.583,0.9,1.683,3,4,66.667,50,16.667,2,2,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,1,3.5,0.333,0.25,0,0,0,0,0.333,0.25,0.333,0.25,0,0,0.5,0.333,0.333,0.25,0,0,0.667,0.75,0,0,0,1,0,0.25,0,0.333,0,0.667,18,25.25
"490","JUSTIN.MAZZULLA","MACEO.JACK","MARCUS.LITTLES","MEZIE.OFFURUM","SHANDON.BROWN","George Washington",1.167,0.767,0.4,2,1,0,200,-200,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,1.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0,0,1,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,1,0,23,24
